Date,Open,High,Low,Close,Adj Close,Volume,Conversion,Baseline,SpanA,SpanB,Lagging,label,group,over_cloud,a_over_b,conv_over_base,price_over_conv,position,daily_return
2018-04-04,416.4849853515625,417.47198486328125,375.30999755859375,380.5429992675781,380.5429992675781,1287730048,427.6320037841797,555.9179992675781,789.8622436523438,916.0945129394531,669.9240112304688,0,3,-1,-1,-1,-1,-4,-0.08719265047673075
2018-04-05,379.9469909667969,387.71600341796875,369.8160095214844,383.23199462890625,383.23199462890625,1210680064,415.00799560546875,553.1594848632812,788.8812408447266,916.0945129394531,673.6129760742188,0,3,-1,-1,-1,-1,-4,0.007066206359080507
2018-04-06,382.7309875488281,385.19500732421875,366.9110107421875,370.2850036621094,370.2850036621094,967105984,407.3089904785156,553.1594848632812,787.2667388916016,916.0945129394531,687.1489868164062,0,3,-1,-1,-1,-1,-4,-0.03378369016223137
2018-04-07,370.3800048828125,393.0589904785156,369.9360046386719,385.3139953613281,385.3139953613281,951475008,391.38648986816406,538.7699890136719,787.2667388916016,916.0945129394531,779.5430297851562,0,3,-1,-1,-1,-1,-4,0.040587632635895154
2018-04-08,385.7430114746094,402.5899963378906,385.60198974609375,400.50799560546875,400.50799560546875,948488000,391.38648986816406,533.2944946289062,787.2667388916016,916.0945129394531,785.6240234375,0,3,-1,-1,-1,-1,-4,0.0394327754170789
2018-04-09,400.85699462890625,429.2510070800781,390.6099853515625,398.5260009765625,398.5260009765625,1478390016,396.5279998779297,493.48651123046875,756.2374877929688,916.0945129394531,816.1199951171875,0,3,-1,-1,-1,1,-2,-0.004948701775378983
2018-04-10,399.4110107421875,415.88800048828125,393.8789978027344,414.2430114746094,414.2430114746094,1196000000,398.0810089111328,493.48651123046875,741.8874969482422,916.0945129394531,792.3109741210938,0,3,-1,-1,-1,1,-2,0.03943785464319349
2018-04-11,415.02398681640625,430.5400085449219,412.47100830078125,430.5400085449219,430.5400085449219,1439040000,398.7255096435547,486.4779968261719,724.5105133056641,916.0945129394531,753.7249755859375,0,3,-1,-1,-1,1,-2,0.03934163430373627
2018-04-12,430.1610107421875,493.0580139160156,417.4129943847656,492.9410095214844,492.9410095214844,2519360000,429.98451232910156,476.70599365234375,702.8720092773438,903.4330139160156,752.8569946289062,0,3,-1,-1,-1,1,-2,0.1449365906491631
2018-04-13,493.1600036621094,526.469970703125,482.65899658203125,492.7349853515625,492.7349853515625,2419249920,446.69049072265625,476.70599365234375,645.1455078125,858.9290161132812,752.2750244140625,0,3,-1,-1,-1,1,-2,-0.0004179489349483978
2018-04-14,492.5799865722656,512.0239868164062,488.27899169921875,501.4779968261719,501.4779968261719,1519079936,446.69049072265625,476.70599365234375,639.7372436523438,858.9290161132812,727.2769775390625,0,3,-1,-1,-1,1,-2,0.01774384148584729
2018-04-15,502.8800048828125,531.7020263671875,502.8800048828125,531.7020263671875,531.7020263671875,1726089984,450.8190155029297,476.70599365234375,639.7372436523438,858.9290161132812,679.5859985351562,0,3,-1,-1,-1,1,-2,0.060269901635369605
2018-04-16,532.073974609375,534.197021484375,500.25,511.1470031738281,511.1470031738281,1758979968,459.8995056152344,470.68548583984375,632.5424957275391,858.3939819335938,686.0479736328125,0,3,-1,-1,-1,1,-2,-0.038658914531133126
2018-04-17,511.1449890136719,518.031005859375,502.5639953613281,502.8940124511719,502.8940124511719,1760359936,462.40350341796875,454.593505859375,629.8047485351562,822.3590087890625,733.4959716796875,0,3,-1,-1,1,1,0,-0.016146021929917542
2018-04-18,503.3089904785156,525.0919799804688,503.0450134277344,524.7890014648438,524.7890014648438,1762940032,464.0380096435547,454.593505859375,609.9007568359375,810.718994140625,730.5490112304688,0,3,-1,-1,1,1,0,0.04353797911999946
2018-04-19,524.0380249023438,567.8889770507812,523.2620239257812,567.8889770507812,567.8889770507812,2256869888,490.17999267578125,465.84698486328125,609.9007568359375,810.718994140625,708.8709716796875,0,3,-1,-1,1,1,0,0.08212819907740543
